School,Department,Name,Designation,Profile_Link,Education_Details,Post_Doctoral_Experiences,Areas_of_Specialization
School of Advanced Sciences (SAS),Physics,Dr.Sathya Swaroop N.R,Professor,https://vit.ac.in/physics/dr-sathya-swaroop-n-r,"[{""Institution"": ""IISc"", ""Degree"": ""Ph.D."", ""Specialization"": ""Materials Engineering"", ""Graduation_Year"": ""2005""}, {""Institution"": ""IISc"", ""Degree"": ""M.Sc.Engg."", ""Specialization"": ""Materials Engineering"", ""Graduation_Year"": ""2000""}, {""Institution"": ""Anna University"", ""Degree"": ""M.Sc."", ""Specialization"": ""Materials Science"", ""Graduation_Year"": ""1995""}, {""Institution"": ""Madras University"", ""Degree"": ""B.Sc."", ""Specialization"": ""Physics"", ""Graduation_Year"": ""1993""}]","Scientific co-worker	(April 2005 – September 2008)  Clausthal University of Technology, Clausthal-Zellerfeld, Germany, of which 2 years were as PI of a project from German Research Foundation","Error: HTTPSConnectionPool(host='vit.ac.in', port=443): Max retries exceeded with url: /physics/dr-sathya-swaroop-n-r (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7b382c8d5d50>, 'Connection to vit.ac.in timed out. (connect timeout=None)'))"
School of Advanced Sciences (SAS),Physics,Dr.Senthilnathan K,Professor,https://vit.ac.in/physics/dr-senthilnathan-k,"[{""Institution"": ""Anna University"", ""Degree"": ""Ph.D."", ""Specialization"": ""Photonics: Nonlinear Fiber Optics"", ""Graduation_Year"": ""2004""}, {""Institution"": ""University of Madras"", ""Degree"": ""M.Sc."", ""Specialization"": ""Physics"", ""Graduation_Year"": ""1999""}, {""Institution"": ""University of Madras"", ""Degree"": ""B.Sc."", ""Specialization"": ""Physics"", ""Graduation_Year"": ""1997""}, {""Institution"": ""University of Madras"", ""Degree"": ""M.Phil."", ""Specialization"": ""Physics"", ""Graduation_Year"": ""2000""}]","The Hong Kong Polytechnic University, Hong Kong","[""Soliton based Optical Fiber Communication system"", ""Fiber sensors"", ""Photonic Crystal Fibers"", ""Supercontinuum generation"", ""Photonic devices based on Metamaterials and metasurfaces""]"
School of Advanced Sciences (SAS),Physics,Dr.Anuradha C,Associate Professor,https://vit.ac.in/physics/dr-anuradha-c,"[{""Institution"": ""VIT University Vellore"", ""Degree"": ""Ph.D."", ""Specialization"": ""Nuclear Physics"", ""Graduation_Year"": ""2011""}, {""Institution"": ""M S University,TIRUNELVELI"", ""Degree"": ""M.Sc."", ""Specialization"": ""Physics"", ""Graduation_Year"": ""1997""}, {""Institution"": ""M K University, MADURAI"", ""Degree"": ""B.Sc."", ""Specialization"": ""Physics"", ""Graduation_Year"": ""1995""}]",,"[""Nuclear Physics"", ""Radiation Physics"", ""Biophysics"", ""Thin Films"", ""Astrophysics""]"
School of Advanced Sciences (SAS),Physics,Dr.Bhaskar Sen Gupta,Associate Professor,https://vit.ac.in/physics/dr-bhaskar-sen-gupta,"[{""Institution"": ""Jawaharlal Nehru University, New Delhi"", ""Degree"": ""Ph.D."", ""Specialization"": ""Soft Condensed Matter Physics"", ""Graduation_Year"": ""2011""}, {""Institution"": ""University of North Bengal, WB"", ""Degree"": ""M.Sc."", ""Specialization"": ""Physics"", ""Graduation_Year"": ""2004""}, {""Institution"": ""Dinhata College, WB"", ""Degree"": ""B.Sc."", ""Specialization"": ""Physics"", ""Graduation_Year"": ""1999""}]","Weizmann Institute of Science, Israel (2012 - 2015)Yale University, USA (2015 - 2016)Max Planck Institute for Polymer Research, Germany (2016 - 2018)","[""Soft Condensed Matter Physics"", ""Non-equilibrium Statistical Mechanics"", ""Dynamical and Mechanical Properties of Amorphous Solids"", ""Kinetics of Phase Separation"", ""Computer Simulations""]"
School of Advanced Sciences (SAS),Physics,Dr.Dhritiman Gupta,Associate Professor,https://vit.ac.in/physics/dr-dhritiman-gupta,"[{""Institution"": ""Jawaharlal Nehru Centre for Advanced Scientific Research (JNCASR), Bangalore"", ""Degree"": ""Ph.D."", ""Specialization"": ""Molecular Electronics"", ""Graduation_Year"": ""2009""}, {""Institution"": ""University of Calcutta, Science College, Rajabazar"", ""Degree"": ""M.Sc."", ""Specialization"": ""Condensed Matter Physics"", ""Graduation_Year"": ""2002""}, {""Institution"": ""University of Calcutta, The Scottish Church College"", ""Degree"": ""B.Sc."", ""Specialization"": ""Physics (Hons.)"", ""Graduation_Year"": ""2000""}]","University of Cambridge, Cavendish Lab (2008-2011) Eindhoven University of Technology, Netherlands (2011-2014)Institute Postdoc, IIT Bombay (6 months)","[""Semiconducting and conducting organic polymer-based devices fabrication  & characterization and modelling"", ""Organic-inorganic hybrid and inorganic perovskite-based devices & fabrication and characterization"", ""Metal oxides and chalcogenides-based devices"", ""Photodetectors"", ""Solar cells"", ""Memristors"", ""Supercapacitors""]"
School of Advanced Sciences (SAS),Physics,Dr. Joseph Nathanael A,Associate Professor,https://vit.ac.in/physics/dr-joseph-nathanael-a,"[{""Institution"": ""Bharathiar University, Coimbatore, TN"", ""Degree"": ""Ph.D."", ""Specialization"": ""Thin Films and nanomaterials"", ""Graduation_Year"": ""2010""}, {""Institution"": ""University of Madras, TN"", ""Degree"": ""M.Phil."", ""Specialization"": ""Thin Films"", ""Graduation_Year"": ""2006""}, {""Institution"": ""Manonmanium Sundaranar University, TN"", ""Degree"": ""M.Sc."", ""Specialization"": ""Thin Films"", ""Graduation_Year"": ""2002""}, {""Institution"": ""Manonmanium Sundaranar University, TN"", ""Degree"": ""B.Sc."", ""Specialization"": ""Physics"", ""Graduation_Year"": ""2000""}]","Chungnam National University, Daejeon, South KoreaYeungnam University,  Gyeongsan, South KoreaNational Institute of Advance Industrial Science and Technology (AIST), Tsukuba, Japan","[""Nanomaterials"", ""Biomaterials"", ""Tissue Engineering"", ""Additive Manufacturing""]"
School of Advanced Sciences (SAS),Physics,Dr.Krishna Chandar N,Associate Professor,https://vit.ac.in/physics/dr-krishna-chandar-n,"[{""Institution"": ""Centre for Nanoscience and Technology, Anna University, Chennai"", ""Degree"": ""Ph.D."", ""Specialization"": ""Nanoscience"", ""Graduation_Year"": ""2012""}, {""Institution"": ""Anna University, Chennai"", ""Degree"": ""M.Sc."", ""Specialization"": ""Materials Science"", ""Graduation_Year"": ""2007""}, {""Institution"": ""Madurai Kamarajar University, Madurai"", ""Degree"": ""B.Sc."", ""Specialization"": ""Physics"", ""Graduation_Year"": ""2005""}]","Functional Materials Group, KTH Royal Institute of Technology, Stockholm, Sweden (2013 - 2014)Institute of Physics, Academia Sinica, Taipei, Taiwan (2018 - 2019)","[""Hierarchical Nanostructures for wastewater treatment"", ""Mesocrystals and 2D layered materials for energy storage applications"", ""Multiferroic metal oxides for magnetic field sensing""]"
School of Advanced Sciences (SAS),Physics,Dr.Madhuri W,Associate Professor,https://vit.ac.in/physics/dr-madhuri-w-2,"[{""Institution"": ""Sri Krishnadevaraya University"", ""Degree"": ""Ph.D."", ""Specialization"": ""Condensed Matter Physics"", ""Graduation_Year"": ""2008""}, {""Institution"": ""Sri Krishnadevaraya University"", ""Degree"": ""M.Sc."", ""Specialization"": ""Solid State Physics"", ""Graduation_Year"": ""2000""}, {""Institution"": ""Sri Krishnadevaraya University"", ""Degree"": ""B.Sc."", ""Specialization"": ""Mathematics, Physics, and Chemistry"", ""Graduation_Year"": ""1998""}]",,"[""Electro-ceramics"", ""Multi-ferroics"", ""Magneto-calorics"", ""Ceramic polymer composites"", ""Microwave synthesis and absorption properties""]"
School of Advanced Sciences (SAS),Physics,Dr.Ramesh M Thamankar,Associate Professor,https://vit.ac.in/physics/dr-ramesh-m-thamankar,"[{""Institution"": ""Freie Universit\u00e4t, Berlin, Germany"", ""Degree"": ""Ph.D."", ""Specialization"": ""Physics"", ""Graduation_Year"": ""2004""}, {""Institution"": ""National Institute of Technology  Karnataka"", ""Degree"": ""M.Tech."", ""Specialization"": ""Materials Engineering"", ""Graduation_Year"": ""1999""}, {""Institution"": ""Mangalore University"", ""Degree"": ""M.Sc."", ""Specialization"": ""Physics"", ""Graduation_Year"": ""1994""}, {""Institution"": ""Mangalore University"", ""Degree"": ""B.Sc."", ""Specialization"": ""Physics, Mathematics and Chemistry"", ""Graduation_Year"": ""1992""}]","University of California, Riverside (2004 – 2006)Max-Planck Institüt fur Mikrostrukturphysik, Halle, Germany (2006 – 2009)Senior Scientist, Institute of Materials Research and Engineering (IMRE), A*STAR, Singapore (2010 – 2014)Senior Research Fellow, Singapore University of Technology and Design (SUTD) (2014 - 2016)","[""Magnetism in Low dimensions"", ""Nanoelectronics"", ""Device Physics"", ""Neuromorphic Devices and Computation"", ""Scanning Probe Microscopy/Spectroscopy""]"
School of Advanced Sciences (SAS),Physics,LT. Dr.Ravi Shanker Babu,Associate Professor & NCC Officer,https://vit.ac.in/physics/lt-dr-ravi-shanker-babu,"[{""Institution"": ""Alagappa University"", ""Degree"": ""Ph.D."", ""Specialization"": ""Physics"", ""Graduation_Year"": ""2008""}, {""Institution"": ""Alagappa University"", ""Degree"": ""M.Sc."", ""Specialization"": ""Physics"", ""Graduation_Year"": ""1999""}, {""Institution"": ""Madurai Kamaraj University"", ""Degree"": ""B.Sc."", ""Specialization"": ""Physics"", ""Graduation_Year"": ""1996""}]",,"[""Polymer electrolytes for battery application"", ""Polymer membranes for bio medical applications"", ""Polymer nanocomposites""]"
School of Advanced Sciences (SAS),Physics,Dr.Samir Ranjan Meher,Associate Professor,https://vit.ac.in/physics/dr-samir-ranjan-meher,"[{""Institution"": ""IIT Madras"", ""Degree"": ""Ph.D."", ""Specialization"": ""Thin Film Semiconductors"", ""Graduation_Year"": ""2012""}, {""Institution"": ""Sambalpur University, Odisha"", ""Degree"": ""M.Sc."", ""Specialization"": ""Nuclear Physics"", ""Graduation_Year"": ""2002""}, {""Institution"": ""G.M. College, Sambalpur, Odisha"", ""Degree"": ""B.Sc."", ""Specialization"": ""Physics (Hons.)"", ""Graduation_Year"": ""1999""}]","(Jan 2012 – May 2013), Research Associate, Semiconductor Laboratory, I.I.T. Madras, Project Title: “Study on Cu2S and Cu2ZnSnS4 thin films prepared by modified activated reactive evaporation” (Funded by Saint-Gobain Recherche, France)","[""Thin Films"", ""Photovoltaics"", ""Toxic Gas Sensors"", ""Ab initio Calculations""]"
School of Advanced Sciences (SAS),Physics,Dr.Samuel P,Associate Professor,https://vit.ac.in/physics/dr-samuel-p,"[{""Institution"": ""Anna University, Chennai"", ""Degree"": ""Ph.D."", ""Specialization"": ""Laser Crystals"", ""Graduation_Year"": ""2011""}, {""Institution"": ""The American College, Madurai"", ""Degree"": ""M.Sc."", ""Specialization"": ""Physics"", ""Graduation_Year"": ""2006""}, {""Institution"": ""The American College, Madurai"", ""Degree"": ""B.Sc"", ""Specialization"": ""Physics"", ""Graduation_Year"": ""2004""}]","Senior Researcher, HiLASE Centre, Institute of Physics, Czech Academy of Sciences - August 2016 – May 2022Post Doctoral Research Associate, College of Optics and Photonics - CREOL, University of Central Florida, USA – April 2012 – March 2014","[""Laser materials"", ""Diode pumped solid state materials"", ""Luminescent materials"", ""Crystal growth"", ""Transparent ceramicsLuminescent Materials"", ""Laser materials Lasers"", ""Spectroscopy""]"
School of Advanced Sciences (SAS),Physics,Dr.Shaik Kaleemulla,Associate Professor,https://vit.ac.in/physics/dr-shaik-kaleemulla,"[{""Institution"": ""S.V. University, Tirupathi, A.P"", ""Degree"": ""Ph.D."", ""Specialization"": ""Thin Films"", ""Graduation_Year"": ""2009""}, {""Institution"": ""B.T. College, Madanapalle, A.P"", ""Degree"": ""M.Sc."", ""Specialization"": ""Vacuum technology and thin films"", ""Graduation_Year"": ""2003""}, {""Institution"": ""B.T. College, Madanapalle, A.P"", ""Degree"": ""B.Sc."", ""Specialization"": ""Mathematics, Physics, and Computer Science"", ""Graduation_Year"": ""2001""}]",,"[""Transparent Conducting Oxides"", ""Thin Film Solar Cells"", ""Dilute Magnetic Semiconductors"", ""Ferrites""]"
School of Advanced Sciences (SAS),Physics,Dr.Sasmita Mohakud,Associate Professor,https://vit.ac.in/physics/dr-sasmita-mohakud,"[{""Institution"": ""Jawaharlal Nehru Centre for Advanced Scientific Research (JNCASR), Bengaluru, India"", ""Degree"": ""Ph.D."", ""Specialization"": ""Theoretical condensed matter physics and material science"", ""Graduation_Year"": ""2011""}, {""Institution"": ""Utkal University, Bhubaneswar, Odisha"", ""Degree"": ""M.Sc."", ""Specialization"": ""High Energy Physics"", ""Graduation_Year"": ""2004""}, {""Institution"": ""Fakir Mohan University, Balasore, Odisha"", ""Degree"": ""B.Sc."", ""Specialization"": ""Physics (Hons.)"", ""Graduation_Year"": ""2002""}]","Department of Physics, University of Tokyo, Hongo, Japan (May 2013 – Jan 2015)WPI-MANA, National Institute for Materials Science (NIMS), Tsukuba, Japan (June 2011 – March 2013)JNCASR, Bengaluru, India (Aug 2010 – July 2011)","[""Magnetic and superconducting materials"", ""Quantum and Frustrated Magnetism"", ""2-D Chalcogenides and Nanomaterials"", ""Organic electronics"", ""Nano magnetism and Micro magnetism""]"
School of Advanced Sciences (SAS),Physics,Dr.Shobana M.K,Associate Professor,https://vit.ac.in/physics/dr-shobana-m-k,"[{""Institution"": ""Anna University"", ""Degree"": ""Ph.D."", ""Specialization"": ""Nanomaterials"", ""Graduation_Year"": ""2009""}, {""Institution"": ""Bharathiar University"", ""Degree"": ""M.Phil"", ""Specialization"": ""Thinfilms"", ""Graduation_Year"": ""2002""}, {""Institution"": ""Bharathiar University"", ""Degree"": ""M.Sc."", ""Specialization"": ""Physics"", ""Graduation_Year"": ""2001""}, {""Institution"": ""Bharathiar University"", ""Degree"": ""B.Sc."", ""Specialization"": ""Physics"", ""Graduation_Year"": ""1999""}]","Kookmin University, Seoul, South Korea","[""Synthesis of nanomaterials for hyperthermia and gas sensor applications"", ""Energy storage devices (Batteries and Supercapacitors)""]"
School of Advanced Sciences (SAS),Physics,Dr.Tulsi Anna,Associate Professor,https://vit.ac.in/physics/dr-tulsi-anna,"[{""Institution"": ""Indian Institute of Technology Delhi (IIT Delhi)"", ""Degree"": ""Ph.D."", ""Specialization"": ""Applied Optics, Optical Coherence Tomography (OCT), Interferometric Instrument Design and Development"", ""Graduation_Year"": ""2012""}, {""Institution"": ""Kumaun University Nainital, Uttarakhand"", ""Degree"": ""M.Sc"", ""Specialization"": ""Physics (Specialization in Electronics)"", ""Graduation_Year"": ""2003""}, {""Institution"": ""Kumaun University Nainital, Uttarakhand"", ""Degree"": ""B.Sc."", ""Specialization"": ""Physics"", ""Graduation_Year"": ""2001""}, {""Institution"": ""Kumaun University Nainital, Uttarakhand"", ""Degree"": ""M.Sc. with single subject"", ""Specialization"": ""High Energy Physics"", ""Graduation_Year"": ""2004""}]","Visiting Research Fellow: BMIRC, National Yang Ming Chiao Tung University, Taipei, Taiwan (Nov 2017 - June 2018)Postdoctoral Research Fellow: BMIRC, National Yang Ming Chiao Tung University, Taipei, Taiwan (June 2015 – Aug 2017)JSPS Postdoctoral Research Fellow: Graduate School of Science and Engineering, Yamagata University, Japan (April 2013 – March 2015)Research Assistant : Instrument and Design Development Center (IDDC), SeNSE (formerly IDDC), IIT Delhi (Nov 2012- March 2013)","[""Applied Optics"", ""Instrument Design and Development"", ""Interferometric and Optical Coherence Tomography (OCT) Techniques"", ""Biophotonics""]"
School of Advanced Sciences (SAS),Physics,Dr.Ummal Momeen M,Associate Professor,https://vit.ac.in/physics/dr-ummal-momeen-m,"[{""Institution"": ""Indian Institute of Technology, Madras"", ""Degree"": ""Ph.D."", ""Specialization"": ""Laser Spectroscopy and quantum optics"", ""Graduation_Year"": ""2009""}, {""Institution"": ""Manonmaniam Sundaranar University, Tirunelveli"", ""Degree"": ""M.Sc."", ""Specialization"": ""Physics"", ""Graduation_Year"": ""2001""}, {""Institution"": ""Manonmaniam Sundaranar University, Tirunelveli"", ""Degree"": ""B.Sc."", ""Specialization"": ""Physics"", ""Graduation_Year"": ""1999""}]","Project leader- Research- Easun Reyrolle Limited Bangalore- Nov 2008- Oct 2009  University of California- Los Angeles; USA- Nov 2009- Jan 2011  University of Pittsburgh- Pittsburgh; USA- Feb 2011- April 2014   Indian Institute of Science, Bangalore- May 2014- October 2014","[""Optical microscopy"", ""Atomic Magnetometry"", ""NV center in diamond"", ""Quantum Chemistry Calculations"", ""Magnetic and Optical Instrumentation techniques""]"
School of Advanced Sciences (SAS),Physics,Dr.Viswa Bandhu Pathak,Associate Professor,https://vit.ac.in/physics/dr-viswa-bandhu-pathak,"[{""Institution"": ""IIT Delhi"", ""Degree"": ""Ph.D."", ""Specialization"": ""Plasma Physics"", ""Graduation_Year"": ""2009""}, {""Institution"": ""IIT Delhi"", ""Degree"": ""M.Sc."", ""Specialization"": ""Plasma Physics"", ""Graduation_Year"": ""2004""}, {""Institution"": ""Banaras Hindu University"", ""Degree"": ""B.Sc."", ""Specialization"": ""Physics Honors"", ""Graduation_Year"": ""2002""}]","Research Fellow (Tenure Track): IBS Project [June 01 2019 – May 31 2022] in CoReLS Gwangju, Rep. KoreaResearch Fellow: IBS Project [August 01 2014 - May 31 2019] in CoReLS Gwangju, Rep. KoreaPostdoctoral Fellow: On ERC project [April 14 2012- July 31 2014] in IST Lisbon-PortugalPostdoctoral Fellow: FCT Fellowship [April 15 2009- April 14 2012] in IST Lisbon-Portugal","[""Computational plasma physics"", ""Nonlinear dynamics in plasma"", ""laser-plasma dynamics"", ""beam-plasma instabilities"", ""laser wakefield acceleration""]"
School of Advanced Sciences (SAS),Physics,Dr. Abhinav Anand,Assistant Professor,https://vit.ac.in/physics/dr-abhinav-anand,"[{""Institution"": ""University of Milan-Bicocca, Italy"", ""Degree"": ""Ph.D."", ""Specialization"": ""Materials Science and Nanotechnolog"", ""Graduation_Year"": ""2021""}, {""Institution"": ""National Institute of Technology, Tiruchirapalli"", ""Degree"": ""M.Sc."", ""Specialization"": ""Physics"", ""Graduation_Year"": ""2016""}, {""Institution"": ""University of Delhi"", ""Degree"": ""B.Sc."", ""Specialization"": ""Physics"", ""Graduation_Year"": ""2014""}]","University of Milan-Bicocca, ItalyIndian Institute of Science, Bangalore, India","[""Colloidal nanomaterials"", ""Quantum dots"", ""Synthesis chemistry"", ""Optical spectroscopy""]"
School of Advanced Sciences (SAS),Physics,Dr.Abhishek Kumar Singh,Assistant Professor,https://vit.ac.in/physics/dr-abhishek-kumar-singh,"[{""Institution"": ""IIT Kanpur"", ""Degree"": ""Ph.D."", ""Specialization"": ""Materials Science"", ""Graduation_Year"": ""2014""}, {""Institution"": ""IIT Roorkee"", ""Degree"": ""M.Tech."", ""Specialization"": ""Solid State Electronic Materials"", ""Graduation_Year"": ""2006""}, {""Institution"": ""University of Hyderabad"", ""Degree"": ""M.Sc."", ""Specialization"": ""Physics"", ""Graduation_Year"": ""2004""}, {""Institution"": ""Andhra University"", ""Degree"": ""B.Sc."", ""Specialization"": ""Maths,Physics,Chemistry"", ""Graduation_Year"": ""2002""}]",,"[""Nanomaterials"", ""Machine Learning"", ""focused ion beam"", ""field emission"", ""supercapacitor"", ""Experimental Condensed Matter""]"
School of Advanced Sciences (SAS),Physics,Dr.Ankur Rastogi,Assistant Professor,https://vit.ac.in/physics/dr-ankur-rastogi,"[{""Institution"": ""I.I.T. Kanpur"", ""Degree"": ""Ph.D."", ""Specialization"": ""Low Dimensional Physics"", ""Graduation_Year"": ""2014""}, {""Institution"": ""C.S.J.M. University Kanpur"", ""Degree"": ""M.Sc."", ""Specialization"": ""Physics/Electronics"", ""Graduation_Year"": ""2007""}, {""Institution"": ""C.S.J.M. University Kanpur"", ""Degree"": ""B.Sc."", ""Specialization"": ""Physics and Chemistry"", ""Graduation_Year"": ""2005""}]","1. Aug. 2014- Sep. 2015: Post-Doctoral Fellow, Interfaces and Correlated Electron systems Faculty of Science and Technology University of Twente, The Netherlands, 2. Nov. 2015- Apr. 2017: Post-Doctoral Fellow, Center for Materials and Information Technology, University of Alabama, USA, 3.  May 2017- Nov 2018 Oak Ridge National Laboratory, USA","[""1. Functional oxides and oxides superlattices 2. Complex oxide heterostructure and Interfaces 3. Interface engineering 4.\tSpintronics"", ""spin Seebeck effect 5.\tSpin current generation at ferri/ferromagnetic insulator and metal interface""]"
